x	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
0	0.12705	0.11242	0.107485143	0.10285	0.09765	0.08572	0.08273	0.083806348	0.0783	0.071439792	0.06442	0.061537611	0.05873	0.056682186	0.0554	0.054288093	0.0555	0.0542	0.0549	0.0546	0.053413121	0.0374	0.0394	0.0369	0.0375	0.0347	0.0325	0.0304	0.03037	0.02686	0.02618	0.0255	0.0248	0.0237	0.02314	0.0226	0.0224	0.022
1	0.021758568	0.016272799	0.019330774	0.021728335	0.020486738	0.019168304	0.007293821	0.007571566	0.00665223	0.005311321	0.004194615	0.003780963	0.003118604	0.003081593	0.002869143	0.002750275	0.002915267	0.003108003	0.00314771	0.002739181	0.002855568	0.002398462	0.002222175	0.002083367	0.00195378	0.001784917	0.001848088	0.001979907	0.001732057	0.001542987	0.001515372	0.001487766	0.001402521	0.001265737	0.001235291	0.001046814	0.001207477	0.001188049
2	0.01626359	0.012672402	0.014392837	0.015753765	0.014844987	0.013874493	0.006081878	0.006294458	0.005419996	0.00433932	0.003546328	0.003068188	0.002642561	0.002532401	0.002370269	0.002288679	0.002425338	0.002495749	0.002503585	0.002255364	0.002341712	0.001973901	0.00179197	0.001726024	0.001617286	0.001479933	0.001488972	0.001467372	0.001376533	0.001261287	0.001225932	0.00119058	0.001161604	0.001050341	0.001013885	0.000936199	0.000996581	0.000968986
3	0.011843535	0.009755214	0.01042534	0.01097195	0.010340166	0.009659696	0.005059539	0.005224155	0.004418357	0.003551538	0.002990776	0.002497297	0.002245583	0.002082949	0.001956263	0.001901781	0.002014069	0.002005381	0.001991456	0.001855687	0.001915671	0.001619129	0.001441097	0.001426345	0.001336342	0.00122654	0.001200336	0.001075739	0.001095687	0.001031543	0.0009934	0.000955258	0.00095676	0.000869333	0.000830662	0.000818909	0.000821591	0.000792954
4	0.008427822	0.007464494	0.007357134	0.007306275	0.006892131	0.006440719	0.004211692	0.004342403	0.003621156	0.002926993	0.002522922	0.002051364	0.001920642	0.001723143	0.001619778	0.001583835	0.001674898	0.001620709	0.001593895	0.001531924	0.001569054	0.001328256	0.00116084	0.001179453	0.001105938	0.001019826	0.00097377	0.000787147	0.000879303	0.000847854	0.000810693	0.000773532	0.00078596	0.000720222	0.000682317	0.000702648	0.000679418	0.000654801
5	0.005906667	0.005728785	0.005086764	0.00463342	0.004379955	0.004099362	0.00352198	0.003629774	0.003001808	0.002444629	0.002137075	0.001713721	0.001660585	0.001442894	0.00135331	0.001328869	0.00140118	0.001326358	0.001294267	0.001275987	0.001293543	0.001095345	0.000942737	0.000980453	0.000921108	0.000854954	0.000801186	0.000584701	0.000717721	0.000704549	0.000671065	0.000637583	0.000647024	0.000600451	0.000565544	0.000593967	0.00056698	0.000549613
6	0.00414838	0.004469028	0.00349642	0.002804315	0.002660855	0.002499326	0.002973476	0.003066443	0.00253423	0.002083946	0.001827124	0.001468369	0.001458339	0.001232369	0.001149393	0.001130856	0.001186371	0.001108104	0.001077097	0.001080142	0.001081104	0.000914564	0.000778739	0.000824543	0.000777041	0.000727258	0.000674954	0.000452712	0.000601964	0.000596286	0.000568215	0.000540146	0.000537682	0.000507459	0.00047711	0.000498319	0.000481268	0.000472794
7	0.003014118	0.003604675	0.002463736	0.001661819	0.001585991	0.00150019	0.00254935	0.002632958	0.002193639	0.001825527	0.001586749	0.001300276	0.001307063	0.001082162	0.001000743	0.00098384	0.001024165	0.000953092	0.000928313	0.000937146	0.000924133	0.000780288	0.000661328	0.000707106	0.000669163	0.000632319	0.000587988	0.000376864	0.000523833	0.00051811	0.000496343	0.000474578	0.000455617	0.000438718	0.000413892	0.000420055	0.000419385	0.00042011
8	0.002367155	0.003056941	0.001869055	0.001052076	0.00101048	0.000966122	0.002232727	0.002310141	0.001956562	0.001650941	0.001409199	0.001195267	0.001199957	0.000983166	0.000900122	0.000881786	0.000908348	0.000849745	0.000835168	0.000840109	0.000815331	0.000686981	0.00058342	0.000623586	0.000593023	0.000565855	0.000533662	0.000344187	0.000475831	0.00046537	0.000450076	0.000434784	0.000398385	0.000391658	0.000372803	0.000362329	0.000378464	0.000387614
9	0.00208117	0.00275302	0.001602106	0.000833661	0.000801542	0.000773054	0.002007718	0.002080181	0.001801817	0.001543513	0.001287837	0.001140549	0.001130689	0.000926974	0.000840702	0.000818934	0.000833164	0.000788173	0.000786656	0.000782863	0.000748065	0.000629491	0.000538633	0.000569746	0.000544529	0.000523944	0.000506032	0.000343281	0.000451368	0.000433902	0.000424649	0.000415397	0.000363574	0.000363815	0.000350939	0.000327245	0.000355826	0.000371797
10	0.002296618	0.00280762	0.001787258	0.001137481	0.001082248	0.001035528	0.001932257	0.002002654	0.001778311	0.001541858	0.001256567	0.001162694	0.001123286	0.00093627	0.000844135	0.000816474	0.000821634	0.000791524	0.000805549	0.000786797	0.00074447	0.000626484	0.00054343	0.000561863	0.000538905	0.000520302	0.000518267	0.00038559	0.000462272	0.000435169	0.000430933	0.000426698	0.000362306	0.000365007	0.000357599	0.000324947	0.000360654	0.000381251
11	0.002268436	0.002700815	0.001769314	0.001201063	0.001136955	0.001086714	0.001804517	0.00186649	0.00169475	0.001494441	0.001204034	0.001153253	0.001094555	0.00092518	0.000831541	0.000799875	0.000795374	0.000772021	0.000801341	0.000777393	0.000726304	0.000612707	0.000535395	0.000543843	0.000523519	0.000506773	0.000517943	0.000407919	0.000458346	0.000426629	0.000426324	0.000426019	0.000357113	0.000361287	0.000358977	0.000331532	0.000360206	0.000382959
12	0.002309353	0.002663733	0.001823967	0.001335208	0.001257718	0.001198787	0.00172494	0.001776344	0.001642431	0.001473143	0.001186742	0.001162631	0.001085959	0.000934625	0.00084094	0.000805642	0.00079401	0.00077361	0.0008181	0.000792358	0.000732625	0.000620583	0.000544683	0.000543781	0.000524809	0.000507352	0.000529808	0.00043667	0.000462937	0.000429102	0.00043123	0.000433358	0.000366658	0.00036942	0.000371386	0.000360048	0.00037049	0.000392841
13	0.002386417	0.002678179	0.001921999	0.001502194	0.001409364	0.001339056	0.001690084	0.001728883	0.001617395	0.00147427	0.001202621	0.001187548	0.001095905	0.000962079	0.00086996	0.000831742	0.000816451	0.000796426	0.000855169	0.000831048	0.000762315	0.000648823	0.000569966	0.000560681	0.000541969	0.000521203	0.000552473	0.000469003	0.00047484	0.000441838	0.000444776	0.000447713	0.000389949	0.000388512	0.000393795	0.000409104	0.000390644	0.000410221
14	0.002474117	0.002728253	0.002040269	0.001673642	0.0015655	0.001483058	0.001694784	0.001719361	0.001615484	0.001493787	0.001248001	0.001224529	0.00112194	0.001004414	0.000915429	0.00087525	0.000860842	0.000840986	0.000912309	0.000892372	0.00081372	0.000695504	0.000609665	0.000592972	0.000573717	0.000547077	0.000584429	0.000502752	0.000492991	0.000463899	0.000466025	0.00046815	0.000425419	0.000417219	0.00042481	0.000475806	0.00041945	0.000434329
15	0.002440779	0.00279562	0.002057271	0.001643404	0.001529396	0.001445212	0.001805055	0.001798724	0.001647307	0.001556249	0.001380836	0.001294921	0.001204808	0.00109282	0.001016416	0.000978085	0.000943703	0.00084334	0.00093096	0.000965249	0.000890908	0.000778365	0.000664478	0.000658162	0.000631618	0.000599772	0.000631592	0.000524841	0.000512709	0.000499617	0.000495422	0.000491226	0.000495015	0.000474032	0.000480786	0.000623037	0.000470558	0.000463682
16	0.002537406	0.002880156	0.002202467	0.001832235	0.001704322	0.001607168	0.001844638	0.001828085	0.00167394	0.001590383	0.001448806	0.001337302	0.001238986	0.001142609	0.001069088	0.00103029	0.001017623	0.000954039	0.00104691	0.001069676	0.000976771	0.000847496	0.000726513	0.000708303	0.000682765	0.000639317	0.000674819	0.000561145	0.000541887	0.00053512	0.000528593	0.000522067	0.000540571	0.000510028	0.000517921	0.000690039	0.000507027	0.000498745
17	0.002642807	0.002968164	0.002362171	0.002044392	0.001903116	0.001792199	0.00187938	0.001858146	0.001706303	0.001621383	0.001509569	0.001373789	0.001265553	0.001185404	0.001112934	0.001074163	0.001098506	0.001106824	0.001199666	0.001193236	0.001074612	0.000920342	0.000796089	0.000760707	0.000738413	0.000680481	0.000720142	0.000599379	0.000575951	0.000574634	0.000565935	0.000557236	0.000584061	0.000543796	0.000552733	0.000739948	0.000542545	0.000537814
18	0.002750949	0.003052936	0.002527765	0.002270735	0.002117112	0.001992284	0.001904452	0.001884196	0.001740991	0.001646724	0.001559304	0.001402612	0.001283003	0.001219137	0.001145848	0.001107757	0.001183351	0.001297325	0.001384846	0.001332115	0.001181269	0.000994461	0.00087088	0.000813476	0.000796705	0.000722006	0.00076631	0.000638935	0.000614043	0.00061702	0.000606415	0.000595809	0.000624035	0.000574236	0.000584199	0.00077057	0.000576019	0.000579677
19	0.00285783	0.003130019	0.002691605	0.002502164	0.002337512	0.002199204	0.001917015	0.001903027	0.001775181	0.001665015	0.001595773	0.00142308	0.001291208	0.001242902	0.001167089	0.001130547	0.001269357	0.0015183	0.001595531	0.001481562	0.001293357	0.001067797	0.00094843	0.000865127	0.000855972	0.00076305	0.000812322	0.000679299	0.000655261	0.000661231	0.000649013	0.000636796	0.000659679	0.000600824	0.000611849	0.000781593	0.000606766	0.000622995
20	0.002936395	0.003144129	0.002882458	0.002813385	0.002638075	0.00248104	0.001881674	0.001883089	0.001800911	0.001656836	0.001592435	0.001412206	0.00124765	0.001223707	0.001144331	0.001103649	0.00136628	0.001899664	0.001947288	0.001694187	0.001431139	0.001134116	0.001035231	0.000910048	0.000915777	0.000797937	0.000854843	0.000720898	0.000706207	0.000709862	0.000699246	0.000688631	0.00067551	0.000609579	0.00062154	0.00072227	0.000625588	0.000682118
21	0.003023006	0.003217476	0.003013179	0.003002726	0.002819541	0.002653175	0.001879133	0.001892679	0.001837478	0.001667217	0.001609851	0.001425277	0.001255707	0.00123718	0.00115547	0.001120946	0.001443245	0.002106259	0.002140465	0.001829204	0.001535818	0.001211056	0.0011257	0.000958049	0.000978802	0.000835148	0.000899359	0.000761261	0.000750039	0.000753846	0.000741099	0.000728353	0.000707239	0.000633441	0.000646655	0.000716541	0.000653209	0.000719032
22	0.003137603	0.00329732	0.003115952	0.003148341	0.002958773	0.002786443	0.001876553	0.001902477	0.001861893	0.001678197	0.001623553	0.001440431	0.001273629	0.001256032	0.001169428	0.001144572	0.001510966	0.002268333	0.002290939	0.001939905	0.001628273	0.001275614	0.001189488	0.00100414	0.001031971	0.000876945	0.000942924	0.000801451	0.000790451	0.000796126	0.000780425	0.000764724	0.000739931	0.000658907	0.000673474	0.000714963	0.000680833	0.000748593
23	0.003280556	0.00338339	0.003190516	0.003249235	0.003054293	0.002879092	0.00187584	0.001912484	0.00187407	0.001691134	0.001635217	0.00145905	0.001302521	0.00128029	0.001187748	0.001175789	0.001568635	0.002380537	0.002393562	0.002023397	0.001706525	0.001327743	0.001226489	0.001048056	0.001075255	0.000923347	0.00098531	0.000841471	0.000827438	0.00083636	0.000816902	0.000797445	0.000773815	0.000686364	0.000702327	0.000719608	0.000708556	0.000770523
